,nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq,IsIdealVulnerable,IsRealVulnerable
admin/auth_config.php,91.0,107.0,1.0,22.0,22.0,6.0,1386.7757196107468,0.0,0.0,0.0,84.0,43.0,51.0,no,no
admin/auth.php,157.0,180.0,0.0,28.0,28.0,3.0,2379.598121430027,0.0,0.0,0.0,49.0,25.0,78.0,no,no
admin/block.php,37.0,42.0,0.0,8.0,8.0,2.0,379.03549825242044,0.0,0.0,0.0,51.0,37.0,25.0,no,no
admin/blocks.php,147.0,147.0,0.0,33.0,33.0,6.0,2307.190263180034,0.0,0.0,0.0,63.0,32.0,91.0,no,no
admin/cron.php,199.0,201.0,0.0,70.0,70.0,6.0,3008.466254182243,0.0,0.0,0.0,51.0,25.0,93.0,no,no
admin/dbperformance.php,20.0,21.0,0.0,3.0,3.0,1.0,217.67663242637795,0.0,0.0,0.0,18.0,14.0,13.0,no,no
admin/delete.php,43.0,48.0,1.0,9.0,9.0,4.0,388.2795739565726,0.0,0.0,1.0,23.0,12.0,20.0,no,no
admin/enrol_config.php,35.0,39.0,0.0,5.0,5.0,2.0,360.21649047031786,0.0,0.0,0.0,73.0,38.0,24.0,no,no
admin/enrol.php,63.0,66.0,0.0,13.0,13.0,3.0,782.8871892298982,0.0,0.0,0.0,27.0,16.0,27.0,no,no
admin/environment.php,61.0,62.0,0.0,10.0,10.0,4.0,593.0853114144057,0.0,0.0,0.0,20.0,8.0,37.0,no,no
admin/filter.php,46.0,48.0,0.0,8.0,8.0,4.0,539.3971265585101,0.0,0.0,0.0,30.0,15.0,26.0,no,no
admin/filters.php,166.0,166.0,0.0,36.0,36.0,7.0,2813.744752119407,0.0,0.0,0.0,36.0,21.0,73.0,no,no
admin/handlevirus.php,71.0,71.0,4.0,14.0,14.0,2.0,794.3028450710875,0.0,0.0,4.0,24.0,15.0,31.0,no,no
admin/health.php,403.0,410.0,69.0,35.0,35.0,6.0,2274.4596542556674,14.0,2.0,9.0,23.0,13.0,41.0,no,no
admin/index.php,338.0,349.0,0.0,71.0,71.0,7.0,5054.594767686826,0.0,0.0,0.0,89.0,37.0,199.0,no,no
admin/innodb.php,26.0,26.0,0.0,5.0,5.0,3.0,173.28679513998634,0.0,0.0,0.0,38.0,26.0,20.0,no,no
admin/langdoc.php,115.0,125.0,2.0,30.0,30.0,5.0,2175.531048232067,0.0,0.0,2.0,33.0,23.0,35.0,no,no
admin/langimport.php,212.0,233.0,3.0,50.0,50.0,5.0,2353.7114635890425,0.0,0.0,3.0,38.0,21.0,86.0,no,no
admin/lang.php,402.0,416.0,7.0,88.0,88.0,7.0,6560.137974669779,0.0,0.0,7.0,42.0,21.0,86.0,no,no
admin/maintenance.php,30.0,44.0,0.0,7.0,7.0,3.0,317.76077631269175,0.0,0.0,0.0,26.0,15.0,21.0,no,no
admin/mnet/access_control.php,129.0,136.0,0.0,36.0,36.0,7.0,1844.320141098219,0.0,0.0,0.0,48.0,23.0,88.0,no,no
admin/mnet/adminlib.php,106.0,106.0,2.0,34.0,34.0,3.0,1442.0410299211276,1.0,1.0,1.0,16.0,13.0,16.0,no,no
admin/mnet/delete.php,31.0,31.0,0.0,6.0,6.0,2.0,241.79506864455666,0.0,0.0,0.0,20.0,13.0,25.0,no,no
admin/mnet/enr_course_enrol.php,146.0,147.0,0.0,26.0,26.0,5.0,2010.0574128573005,0.0,0.0,0.0,55.0,31.0,61.0,no,no
admin/mnet/enr_courses.php,34.0,36.0,0.0,3.0,3.0,1.0,412.2064994041782,0.0,0.0,0.0,25.0,17.0,19.0,no,no
admin/mnet/enr_hosts.php,34.0,35.0,0.0,4.0,4.0,2.0,419.63690242932324,0.0,0.0,0.0,12.0,9.0,17.0,no,no
admin/mnet/index.php,72.0,73.0,0.0,13.0,13.0,4.0,798.5055520050569,0.0,0.0,0.0,31.0,17.0,51.0,no,no
admin/mnet/MethodTable.php,268.0,268.0,17.0,56.0,56.0,7.0,2902.921360817016,4.0,4.0,11.0,14.0,10.0,19.0,no,no
admin/mnet/mnet_services.php,100.0,100.0,0.0,20.0,20.0,4.0,1386.9886382472312,0.0,0.0,0.0,27.0,15.0,32.0,no,no
admin/mnet/peers.php,89.0,89.0,0.0,27.0,27.0,6.0,1185.8588801660558,0.0,0.0,0.0,37.0,22.0,54.0,no,no
admin/mnet/trustedhosts.php,48.0,48.0,0.0,17.0,17.0,4.0,533.1793808411559,0.0,0.0,0.0,17.0,9.0,22.0,no,no
admin/module.php,33.0,34.0,0.0,6.0,6.0,3.0,368.8879454113936,0.0,0.0,0.0,25.0,13.0,19.0,no,no
admin/modules.php,122.0,122.0,0.0,29.0,29.0,6.0,1898.3908093387597,0.0,0.0,0.0,41.0,20.0,68.0,no,no
admin/multilangupgrade.php,65.0,68.0,1.0,17.0,17.0,7.0,799.789746150384,0.0,0.0,0.0,72.0,48.0,30.0,no,no
admin/oacleanup.php,68.0,71.0,1.0,25.0,25.0,7.0,889.4712789236011,2.0,2.0,1.0,16.0,5.0,21.0,no,no
admin/pagelib.php,82.0,82.0,12.0,9.0,9.0,3.0,773.6634419679377,231.0,186.0,5.0,31.0,11.0,16.0,no,no
admin/phpinfo.php,19.0,21.0,0.0,1.0,1.0,0.0,125.82075548926761,0.0,0.0,0.0,7.0,3.0,7.0,no,no
admin/process_email.php,45.0,45.0,0.0,10.0,10.0,3.0,491.4782040905407,0.0,0.0,0.0,10.0,8.0,15.0,no,no
admin/register.php,83.0,134.0,0.0,6.0,6.0,1.0,1369.9207449349406,0.0,0.0,0.0,39.0,23.0,61.0,no,no
admin/replace.php,39.0,46.0,0.0,9.0,9.0,4.0,400.4153505778461,0.0,0.0,0.0,53.0,42.0,24.0,no,no
admin/report/courseoverview/index.php,73.0,76.0,0.0,15.0,15.0,4.0,1216.2655181190316,0.0,0.0,0.0,33.0,16.0,40.0,no,no
admin/report/courseoverview/reportsgraph.php,36.0,36.0,0.0,5.0,5.0,1.0,418.73287387473516,0.0,0.0,0.0,20.0,15.0,13.0,no,no
admin/report/log/index.php,17.0,18.0,0.0,1.0,1.0,0.0,125.82075548926761,0.0,0.0,0.0,10.0,6.0,13.0,no,no
