,nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq,IsVulnerable
browse_foreigners.php,133.0,146.0,0.0,18.0,18.0,3.0,1776.6164175381568,0.0,0.0,0.0,14.0,8.0,18.0,no
bs_disp_as_mime_type.php,27.0,27.0,0.0,6.0,6.0,2.0,190.46705337308072,0.0,0.0,0.0,3.0,3.0,3.0,no
bs_play_media.php,20.0,22.0,0.0,5.0,5.0,3.0,130.31166994526973,0.0,0.0,0.0,2.0,2.0,2.0,no
changelog.php,50.0,54.0,0.0,3.0,3.0,2.0,112.64733019576666,0.0,0.0,0.0,0.0,0.0,0.0,no
chk_rel.php,5.0,5.0,0.0,1.0,1.0,0.0,6.931471805599453,0.0,0.0,0.0,1.0,1.0,1.0,no
config.sample.inc.php,12.0,12.0,0.0,1.0,1.0,0.0,11.78350206951907,0.0,0.0,0.0,0.0,0.0,0.0,no
db_create.php,61.0,61.0,0.0,9.0,9.0,3.0,450.44178391828274,0.0,0.0,0.0,17.0,9.0,17.0,no
db_datadict.php,112.0,122.0,0.0,30.0,30.0,4.0,1320.2734824887632,0.0,0.0,0.0,20.0,10.0,21.0,no
db_events.php,12.0,12.0,0.0,1.0,1.0,0.0,12.084735175349207,0.0,0.0,0.0,0.0,0.0,0.0,no
db_export.php,43.0,43.0,0.0,8.0,8.0,3.0,343.0372017012013,0.0,0.0,0.0,5.0,4.0,3.0,no
db_import.php,8.0,9.0,0.0,1.0,1.0,0.0,12.875503299472802,0.0,0.0,0.0,0.0,0.0,0.0,no
db_operations.php,272.0,294.0,0.0,65.0,65.0,6.0,3353.270559009554,0.0,0.0,0.0,48.0,20.0,86.0,no
db_printview.php,62.0,81.0,0.0,14.0,14.0,4.0,737.1952226759382,0.0,0.0,0.0,9.0,5.0,15.0,no
db_qbe.php,449.0,498.0,1.0,112.0,112.0,8.0,7979.812937624564,0.0,0.0,1.0,29.0,12.0,32.0,no
db_routines.php,16.0,16.0,0.0,2.0,2.0,1.0,19.408121055678468,0.0,0.0,0.0,0.0,0.0,0.0,no
db_search.php,157.0,164.0,1.0,24.0,24.0,5.0,2067.715458937072,0.0,0.0,1.0,11.0,3.0,20.0,no
db_sql.php,19.0,19.0,0.0,2.0,2.0,1.0,75.14966570530028,0.0,0.0,0.0,1.0,1.0,1.0,no
db_structure.php,366.0,390.0,0.0,66.0,66.0,4.0,4481.448701124696,0.0,0.0,0.0,24.0,12.0,43.0,no
db_tracking.php,103.0,109.0,0.0,24.0,24.0,5.0,1356.675862716082,0.0,0.0,0.0,19.0,8.0,23.0,no
db_triggers.php,11.0,11.0,0.0,1.0,1.0,0.0,10.986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,no
enum_editor.php,53.0,58.0,0.0,13.0,13.0,3.0,531.469149342905,0.0,0.0,0.0,3.0,2.0,4.0,no
examples/config.manyhosts.inc.php,32.0,32.0,0.0,2.0,2.0,1.0,69.31471805599453,0.0,0.0,0.0,0.0,0.0,0.0,no
examples/openid.php,72.0,74.0,1.0,13.0,13.0,2.0,576.8089506252758,0.0,0.0,1.0,4.0,4.0,3.0,no
examples/signon.php,18.0,20.0,0.0,3.0,3.0,2.0,79.51343008130763,0.0,0.0,0.0,0.0,0.0,0.0,no
examples/signon-script.php,4.0,4.0,1.0,1.0,1.0,0.0,1.3862943611198906,1.0,1.0,0.0,0.0,0.0,0.0,no
export.php,366.0,369.0,1.0,128.0,128.0,7.0,5323.333906860635,14.0,14.0,0.0,115.0,31.0,74.0,no
file_echo.php,29.0,29.0,0.0,9.0,9.0,4.0,243.25092924278988,0.0,0.0,0.0,1.0,1.0,2.0,no
gis_data_editor.php,183.0,212.0,0.0,52.0,52.0,8.0,3683.2467717620725,0.0,0.0,0.0,22.0,14.0,11.0,no
import.php,281.0,281.0,0.0,74.0,74.0,6.0,3304.9258442180403,0.0,0.0,0.0,30.0,14.0,65.0,no
import_status.php,14.0,14.0,0.0,3.0,3.0,2.0,71.81858200892303,0.0,0.0,0.0,2.0,2.0,2.0,no
index.php,64.0,73.0,0.0,14.0,14.0,2.0,686.1821758674569,0.0,0.0,0.0,7.0,5.0,25.0,no
js/get_image.js.php,16.0,17.0,0.0,4.0,4.0,1.0,121.78089750893692,0.0,0.0,0.0,4.0,3.0,4.0,no
js/messages.php,328.0,333.0,0.0,2.0,2.0,1.0,1894.8090239086478,0.0,0.0,0.0,2.0,1.0,18.0,no
libraries/Advisor.class.php,211.0,211.0,11.0,32.0,32.0,4.0,1754.847246313675,2.0,2.0,7.0,7.0,6.0,16.0,no
libraries/auth/config.auth.lib.php,39.0,41.0,4.0,6.0,6.0,3.0,236.58652022243947,11.0,7.0,0.0,6.0,6.0,4.0,no
libraries/auth/cookie.auth.lib.php,232.0,250.0,7.0,58.0,58.0,5.0,2455.24411495955,10.0,7.0,5.0,32.0,19.0,41.0,no
libraries/auth/http.auth.lib.php,91.0,94.0,4.0,27.0,27.0,7.0,711.2238693446569,10.0,6.0,1.0,13.0,10.0,24.0,no
libraries/auth/signon.auth.lib.php,94.0,94.0,4.0,23.0,23.0,5.0,677.3699444713687,10.0,6.0,1.0,11.0,10.0,10.0,no
libraries/auth/swekey/authentication.inc.php,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no
libraries/auth/swekey/swekey.auth.lib.php,119.0,128.0,3.0,37.0,37.0,4.0,1176.963912590787,2.0,1.0,1.0,16.0,7.0,17.0,no
libraries/auth/swekey/swekey.php,223.0,223.0,15.0,35.0,35.0,5.0,1881.0640480524007,8.0,1.0,3.0,0.0,0.0,0.0,no
libraries/blobstreaming.lib.php,281.0,281.0,13.0,59.0,59.0,4.0,2457.6324025970594,12.0,9.0,6.0,26.0,12.0,58.0,no
libraries/blowfish.php,383.0,383.0,6.0,17.0,17.0,3.0,4505.67887551582,3.0,2.0,4.0,1.0,1.0,1.0,no
libraries/bookmark.lib.php,72.0,72.0,5.0,10.0,10.0,2.0,696.9071571403352,7.0,3.0,1.0,7.0,3.0,27.0,no
libraries/build_html_for_db.lib.php,101.0,101.0,2.0,17.0,17.0,4.0,734.1327889801427,4.0,2.0,0.0,6.0,4.0,9.0,no
libraries/charset_conversion.lib.php,43.0,43.0,1.0,14.0,14.0,5.0,228.73714154851538,3.0,3.0,0.0,2.0,2.0,3.0,no
libraries/check_user_privileges.lib.php,69.0,69.0,1.0,12.0,12.0,5.0,483.5273363625602,0.0,0.0,1.0,16.0,5.0,19.0,no
libraries/cleanup.lib.php,15.0,15.0,1.0,7.0,7.0,3.0,192.6585073958227,1.0,1.0,0.0,0.0,0.0,0.0,no
libraries/common.inc.php,391.0,391.0,0.0,84.0,84.0,7.0,3491.203374649255,0.0,0.0,0.0,59.0,23.0,72.0,yes
libraries/common.lib.php,1856.0,1885.0,77.0,359.0,359.0,7.0,27268.38404468222,502.0,143.0,31.0,56.0,20.0,97.0,no
libraries/Config.class.php,692.0,692.0,38.0,134.0,134.0,7.0,6842.290070845799,61.0,40.0,28.0,22.0,10.0,137.0,no
libraries/config/ConfigFile.class.php,186.0,186.0,26.0,29.0,29.0,2.0,2178.7451416476383,88.0,36.0,6.0,10.0,6.0,17.0,no
libraries/config/config_functions.lib.php,19.0,19.0,2.0,2.0,2.0,1.0,156.08007492639288,6.0,4.0,1.0,1.0,1.0,1.0,no
libraries/config.default.php,445.0,445.0,0.0,2.0,2.0,1.0,453.72687521992935,0.0,0.0,0.0,0.0,0.0,0.0,no
libraries/config/Form.class.php,77.0,77.0,7.0,14.0,14.0,3.0,742.4445878342468,6.0,5.0,3.0,6.0,4.0,5.0,no
libraries/config/FormDisplay.class.php,406.0,406.0,16.0,82.0,82.0,5.0,4637.041720741113,61.0,44.0,9.0,39.0,15.0,56.0,no
libraries/config/FormDisplay.tpl.php,195.0,221.0,13.0,42.0,42.0,4.0,2654.2898947277868,21.0,3.0,0.0,4.0,3.0,4.0,no
libraries/config/messages.inc.php,512.0,512.0,0.0,2.0,2.0,1.0,6392.036623826089,0.0,0.0,0.0,0.0,0.0,0.0,no
libraries/config/setup.forms.php,346.0,346.0,0.0,1.0,1.0,0.0,87.88898309344879,0.0,0.0,0.0,0.0,0.0,0.0,no
libraries/config/user_preferences.forms.php,245.0,245.0,0.0,1.0,1.0,0.0,69.21257418609092,0.0,0.0,0.0,0.0,0.0,0.0,no
libraries/config/validate.lib.php,220.0,220.0,15.0,49.0,49.0,6.0,2712.2849175310657,3.0,2.0,4.0,7.0,3.0,10.0,no
libraries/config.values.php,156.0,156.0,0.0,2.0,2.0,1.0,203.7852710846239,0.0,0.0,0.0,0.0,0.0,0.0,no
libraries/core.lib.php,314.0,316.0,22.0,69.0,69.0,4.0,3294.936838512045,115.0,77.0,7.0,17.0,9.0,11.0,no
libraries/database_interface.lib.php,821.0,821.0,26.0,168.0,168.0,7.0,9213.22719077066,275.0,111.0,11.0,36.0,10.0,83.0,no
