,nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq,IsIdealVulnerable,IsRealVulnerable
admin/config.php,50.0,51.0,1.0,15.0,15.0,5.0,528.1231057327997,5.0,5.0,1.0,23.0,8.0,27.0,no,no
admin/cron.php,27.0,29.0,0.0,14.0,14.0,6.0,346.9221329295399,0.0,0.0,0.0,4.0,1.0,6.0,no,no
admin/index.php,154.0,156.0,0.0,36.0,36.0,7.0,2153.2800857894954,0.0,0.0,0.0,25.0,4.0,97.0,no,no
admin/lang.php,155.0,167.0,1.0,38.0,38.0,6.0,2461.2287960956355,0.0,0.0,1.0,15.0,2.0,42.0,no,no
admin/site.php,48.0,48.0,1.0,14.0,14.0,5.0,504.6509677002308,5.0,5.0,1.0,19.0,8.0,26.0,no,no
admin/user.php,126.0,126.0,0.0,29.0,29.0,5.0,1911.4086747841618,0.0,0.0,0.0,24.0,2.0,56.0,no,no
auth/email/lib.php,7.0,7.0,1.0,2.0,2.0,1.0,28.563919505370855,1.0,1.0,0.0,1.0,1.0,1.0,no,no
auth/none/lib.php,6.0,6.0,1.0,2.0,2.0,1.0,24.953298500158027,1.0,1.0,0.0,1.0,1.0,1.0,no,no
config-dist.php,11.0,11.0,0.0,1.0,1.0,0.0,67.092479544276,0.0,0.0,0.0,0.0,0.0,0.0,no,no
course/categories.php,63.0,66.0,0.0,19.0,19.0,4.0,831.1519461310863,0.0,0.0,0.0,18.0,4.0,35.0,no,no
course/delete.php,76.0,76.0,0.0,22.0,22.0,7.0,1040.216481350656,0.0,0.0,0.0,19.0,2.0,52.0,no,no
course/edit.php,90.0,90.0,1.0,21.0,21.0,4.0,1103.3798587061422,5.0,5.0,1.0,26.0,8.0,51.0,no,no
course/editsection.php,25.0,25.0,0.0,7.0,7.0,2.0,261.89219838798596,0.0,0.0,0.0,13.0,3.0,17.0,no,no
course/enrol.php,53.0,53.0,0.0,13.0,13.0,4.0,798.1512311534484,0.0,0.0,0.0,19.0,4.0,35.0,no,no
course/index.php,32.0,39.0,0.0,8.0,8.0,3.0,306.107764349594,0.0,0.0,0.0,10.0,3.0,13.0,no,no
course/lib.php,504.0,541.0,22.0,124.0,124.0,6.0,10380.324523606429,44.0,16.0,5.0,33.0,6.0,151.0,no,no
course/loggraph.php,81.0,81.0,0.0,15.0,15.0,3.0,945.5009887598616,0.0,0.0,0.0,11.0,3.0,21.0,no,no
course/loginas.php,28.0,28.0,0.0,4.0,4.0,1.0,473.03024655639337,0.0,0.0,0.0,14.0,2.0,17.0,no,no
course/loglive.php,16.0,16.0,0.0,3.0,3.0,1.0,131.8122200363756,0.0,0.0,0.0,8.0,3.0,9.0,no,no
course/log.php,39.0,42.0,0.0,9.0,9.0,3.0,543.9682534078803,0.0,0.0,0.0,17.0,4.0,30.0,no,no
course/mod.php,152.0,152.0,0.0,39.0,39.0,5.0,2356.979475239069,0.0,0.0,0.0,23.0,3.0,81.0,no,no
course/social.php,32.0,44.0,0.0,6.0,6.0,2.0,609.2401477801891,0.0,0.0,0.0,14.0,4.0,28.0,no,no
course/teacher.php,99.0,111.0,0.0,32.0,32.0,5.0,1467.5819695098721,0.0,0.0,0.0,19.0,2.0,43.0,no,no
course/teachers.php,48.0,51.0,0.0,13.0,13.0,3.0,793.8078252662906,0.0,0.0,0.0,19.0,3.0,27.0,no,no
course/topics.php,89.0,110.0,0.0,23.0,23.0,3.0,1618.328475044768,0.0,0.0,0.0,22.0,5.0,47.0,no,no
course/unenrol.php,29.0,29.0,0.0,8.0,8.0,2.0,498.306671944903,0.0,0.0,0.0,15.0,2.0,22.0,no,no
course/user.php,100.0,124.0,1.0,21.0,21.0,8.0,1932.5532965732878,0.0,0.0,1.0,21.0,3.0,37.0,no,no
course/view.php,46.0,46.0,0.0,12.0,12.0,3.0,429.83200610258734,0.0,0.0,0.0,15.0,3.0,20.0,no,no
course/weeks.php,90.0,112.0,0.0,20.0,20.0,3.0,1705.0462720129065,0.0,0.0,0.0,21.0,5.0,43.0,no,no
doc/view.php,14.0,17.0,0.0,4.0,4.0,1.0,147.221948958322,0.0,0.0,0.0,8.0,2.0,9.0,no,no
error/index.php,15.0,16.0,0.0,3.0,3.0,2.0,186.60345256981142,0.0,0.0,0.0,9.0,2.0,8.0,no,no
file.php,30.0,30.0,0.0,6.0,6.0,1.0,296.21428406775755,0.0,0.0,0.0,6.0,4.0,7.0,no,no
files/index.php,369.0,484.0,8.0,63.0,63.0,5.0,6147.935217524562,0.0,0.0,8.0,22.0,4.0,53.0,no,no
