,nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq,IsIdealVulnerable,IsRealVulnerable
chk_rel.php3,7.0,8.0,0.0,1.0,1.0,0.0,11.090354888959125,0.0,0.0,0.0,1.0,1.0,1.0,no,no
config.inc.php3,275.0,275.0,0.0,3.0,3.0,1.0,518.0816459236603,0.0,0.0,0.0,0.0,0.0,0.0,no,no
db_create.php3,11.0,11.0,0.0,2.0,2.0,1.0,95.38226801057343,0.0,0.0,0.0,5.0,3.0,6.0,no,no
db_datadict.php3,136.0,151.0,0.0,34.0,34.0,4.0,1750.1726355431088,0.0,0.0,0.0,11.0,4.0,23.0,no,no
db_details_common.php3,22.0,25.0,0.0,9.0,9.0,2.0,222.4637681243562,0.0,0.0,0.0,3.0,3.0,7.0,no,no
db_details_db_info.php3,38.0,38.0,0.0,14.0,14.0,7.0,494.7117177227884,0.0,0.0,0.0,7.0,2.0,18.0,no,no
db_details_export.php3,71.0,97.0,0.0,15.0,15.0,3.0,974.1351091579062,0.0,0.0,0.0,3.0,2.0,3.0,no,no
db_details_importdocsql.php3,66.0,70.0,0.0,18.0,18.0,8.0,1085.0013089888566,0.0,0.0,0.0,5.0,3.0,17.0,no,no
db_details_links.php3,34.0,37.0,0.0,7.0,7.0,1.0,306.79336564160604,0.0,0.0,0.0,5.0,2.0,11.0,no,no
db_details.php3,93.0,102.0,0.0,24.0,24.0,5.0,1385.4334068872902,0.0,0.0,0.0,4.0,4.0,4.0,no,no
db_details_qbe.php3,523.0,580.0,2.0,137.0,137.0,8.0,10121.74309674934,0.0,0.0,2.0,13.0,4.0,35.0,no,no
db_details_structure.php3,227.0,274.0,0.0,29.0,29.0,8.0,4225.091470670729,0.0,0.0,0.0,13.0,4.0,29.0,yes,no
db_printview.php3,109.0,136.0,0.0,33.0,33.0,7.0,1547.3268839358755,0.0,0.0,0.0,9.0,3.0,23.0,no,no
db_search.php3,182.0,192.0,1.0,37.0,37.0,6.0,2724.1089870244355,0.0,0.0,1.0,12.0,3.0,26.0,no,no
footer.inc.php3,16.0,17.0,0.0,6.0,6.0,2.0,83.17766166719343,0.0,0.0,0.0,2.0,2.0,2.0,no,no
header.inc.php3,119.0,140.0,0.0,21.0,21.0,5.0,1703.99988821274,0.0,0.0,0.0,5.0,4.0,5.0,no,no
header_printview.inc.php3,33.0,34.0,0.0,4.0,4.0,2.0,402.0050998062424,0.0,0.0,0.0,4.0,2.0,4.0,no,no
