,nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq,IsIdealVulnerable,IsRealVulnerable
browse_foreigners.php,95.0,101.0,0.0,19.0,19.0,3.0,1893.9134725242816,0.0,0.0,0.0,11.0,5.0,11.0,no,no
chk_rel.php,7.0,7.0,0.0,1.0,1.0,0.0,7.690286020676768,0.0,0.0,0.0,1.0,1.0,1.0,no,no
config.inc.php,426.0,426.0,0.0,3.0,3.0,1.0,692.1257418609092,0.0,0.0,0.0,0.0,0.0,0.0,no,no
css/phpmyadmin.css.php,89.0,100.0,0.0,9.0,9.0,5.0,1303.6447090716213,0.0,0.0,0.0,2.0,2.0,2.0,no,no
db_create.php,15.0,15.0,0.0,2.0,2.0,1.0,141.09723971681174,0.0,0.0,0.0,5.0,3.0,5.0,no,no
db_datadict.php,144.0,161.0,0.0,38.0,38.0,4.0,1831.0223286483792,0.0,0.0,0.0,12.0,5.0,23.0,no,no
db_details_common.php,20.0,23.0,0.0,6.0,6.0,2.0,238.19681104024684,0.0,0.0,0.0,4.0,3.0,8.0,no,no
db_details_db_info.php,35.0,35.0,0.0,12.0,12.0,6.0,416.1105419047071,0.0,0.0,0.0,6.0,2.0,17.0,no,no
db_details_export.php,34.0,35.0,0.0,5.0,5.0,3.0,273.7931363211784,0.0,0.0,0.0,1.0,1.0,1.0,no,no
db_details_importdocsql.php,139.0,150.0,1.0,39.0,39.0,7.0,2287.8987718566154,0.0,0.0,1.0,8.0,5.0,22.0,no,no
db_details_links.php,35.0,41.0,0.0,8.0,8.0,1.0,327.95152878930304,0.0,0.0,0.0,5.0,2.0,11.0,no,no
db_details.php,105.0,115.0,0.0,26.0,26.0,5.0,1581.9449375911822,0.0,0.0,0.0,8.0,4.0,8.0,no,no
db_details_qbe.php,519.0,576.0,2.0,134.0,134.0,8.0,10002.880162595427,0.0,0.0,2.0,13.0,5.0,36.0,no,no
db_details_structure.php,307.0,366.0,1.0,54.0,54.0,7.0,6031.996000642075,0.0,0.0,1.0,16.0,5.0,37.0,yes,no
db_printview.php,119.0,147.0,0.0,36.0,36.0,6.0,1882.0982131299036,0.0,0.0,0.0,10.0,4.0,26.0,no,no
db_search.php,173.0,183.0,1.0,33.0,33.0,6.0,2587.052475625774,0.0,0.0,1.0,12.0,3.0,26.0,no,no
export.php,286.0,287.0,1.0,91.0,91.0,5.0,4108.184073066484,4.0,4.0,0.0,35.0,11.0,40.0,no,no
footer.inc.php,38.0,49.0,0.0,13.0,13.0,4.0,592.9735699199098,0.0,0.0,0.0,4.0,4.0,4.0,no,no
header.inc.php,65.0,82.0,0.0,16.0,16.0,5.0,869.0964727144142,0.0,0.0,0.0,3.0,2.0,3.0,no,no
header_printview.inc.php,28.0,29.0,0.0,5.0,5.0,2.0,315.3819671547751,0.0,0.0,0.0,5.0,2.0,5.0,no,no
index.php,56.0,60.0,0.0,9.0,9.0,3.0,752.0646909075407,0.0,0.0,0.0,4.0,3.0,4.0,yes,no
lang/afrikaans-iso-8859-1.inc.php,689.0,689.0,0.0,1.0,1.0,0.0,4495.24672049814,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/afrikaans-utf-8.inc.php,690.0,690.0,0.0,1.0,1.0,0.0,4502.781235728411,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/albanian-iso-8859-1.inc.php,690.0,690.0,0.0,1.0,1.0,0.0,4502.781235728411,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/albanian-utf-8.inc.php,691.0,691.0,0.0,1.0,1.0,0.0,4509.316476999425,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/arabic-utf-8.inc.php,691.0,691.0,0.0,1.0,1.0,0.0,4509.316476999425,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/arabic-windows-1256.inc.php,690.0,690.0,0.0,1.0,1.0,0.0,4502.781235728411,0.0,0.0,0.0,0.0,0.0,0.0,no,no
