,nomefile,Y_IDEAL,Y_REAL,Y_PRED
0,browse_foreigners.php,0,0,0
1,calendar.php,0,0,0
2,changelog.php,1,0,0
3,chk_rel.php,0,0,0
4,css/phpmyadmin.css.php,0,0,0
5,db_create.php,0,0,0
6,db_datadict.php,0,0,0
7,db_details_export.php,0,0,0
8,db_details_importdocsql.php,0,0,0
9,db_details.php,0,0,0
10,db_details_qbe.php,0,0,0
11,db_details_structure.php,0,0,0
12,db_import.php,0,0,0
13,db_operations.php,1,0,0
14,db_printview.php,0,0,0
15,db_search.php,0,0,0
16,error.php,1,0,0
17,export.php,0,0,0
18,import.php,0,0,0
19,index.php,0,0,0
20,lang/afrikaans-iso-8859-1.inc.php,0,0,0
21,lang/afrikaans-utf-8.inc.php,0,0,0
22,lang/albanian-iso-8859-1.inc.php,0,0,0
23,lang/albanian-utf-8.inc.php,0,0,0
24,lang/arabic-utf-8.inc.php,0,0,0
25,lang/arabic-windows-1256.inc.php,0,0,0
26,lang/azerbaijani-iso-8859-9.inc.php,0,0,0
27,lang/azerbaijani-utf-8.inc.php,0,0,0
28,lang/basque-iso-8859-1.inc.php,0,0,0
29,lang/basque-utf-8.inc.php,0,0,0
30,lang/belarusian_cyrillic-utf-8.inc.php,0,0,0
31,lang/belarusian_cyrillic-windows-1251.inc.php,0,0,0
32,lang/belarusian_latin-utf-8.inc.php,0,0,0
33,lang/bosnian-utf-8.inc.php,0,0,0
34,lang/bosnian-windows-1250.inc.php,0,0,0
35,lang/brazilian_portuguese-iso-8859-1.inc.php,0,0,0
36,lang/brazilian_portuguese-utf-8.inc.php,0,0,0
37,lang/bulgarian-koi8-r.inc.php,0,0,0
38,lang/bulgarian-utf-8.inc.php,0,0,0
39,lang/bulgarian-windows-1251.inc.php,0,0,0
40,lang/catalan-iso-8859-1.inc.php,0,0,0
41,lang/catalan-utf-8.inc.php,0,0,0
42,lang/chinese_simplified-gb2312.inc.php,0,0,0
43,lang/chinese_simplified-utf-8.inc.php,0,0,0
44,lang/chinese_traditional-big5.inc.php,0,0,0
45,lang/chinese_traditional-utf-8.inc.php,0,0,0
46,lang/croatian-iso-8859-2.inc.php,0,0,0
47,lang/croatian-utf-8.inc.php,0,0,0
48,lang/croatian-windows-1250.inc.php,0,0,0
49,lang/czech-iso-8859-2.inc.php,0,0,0
50,lang/czech-utf-8.inc.php,0,0,0
51,lang/czech-windows-1250.inc.php,0,0,0
52,lang/danish-iso-8859-1.inc.php,0,0,0
53,lang/danish-utf-8.inc.php,0,0,0
54,lang/dutch-iso-8859-15.inc.php,0,0,0
55,lang/dutch-iso-8859-1.inc.php,0,0,0
56,lang/dutch-utf-8.inc.php,0,0,0
57,lang/english-iso-8859-15.inc.php,0,0,0
58,lang/english-iso-8859-1.inc.php,0,0,0
59,lang/english-utf-8.inc.php,0,0,0
60,lang/estonian-iso-8859-1.inc.php,0,0,0
61,lang/estonian-utf-8.inc.php,0,0,0
62,lang/finnish-iso-8859-15.inc.php,0,0,0
63,lang/finnish-iso-8859-1.inc.php,0,0,0
64,lang/finnish-utf-8.inc.php,0,0,0
65,lang/french-iso-8859-15.inc.php,0,0,0
66,lang/french-iso-8859-1.inc.php,0,0,0
67,lang/french-utf-8.inc.php,0,0,0
68,lang/galician-iso-8859-1.inc.php,0,0,0
69,lang/galician-utf-8.inc.php,0,0,0
70,lang/georgian-utf-8.inc.php,0,0,0
71,lang/german-iso-8859-15.inc.php,0,0,0
72,lang/german-iso-8859-1.inc.php,0,0,0
73,lang/german-utf-8.inc.php,0,0,0
74,lang/greek-iso-8859-7.inc.php,0,0,0
75,lang/greek-utf-8.inc.php,0,0,0
76,lang/hebrew-iso-8859-8-i.inc.php,0,0,0
77,lang/hebrew-utf-8.inc.php,0,0,0
78,lang/hindi-utf-8.inc.php,0,0,0
79,lang/hungarian-iso-8859-2.inc.php,0,0,0
80,lang/hungarian-utf-8.inc.php,0,0,0
81,lang/indonesian-iso-8859-1.inc.php,0,0,0
82,lang/indonesian-utf-8.inc.php,0,0,0
83,lang/italian-iso-8859-15.inc.php,0,0,0
84,lang/italian-iso-8859-1.inc.php,0,0,0
85,lang/italian-utf-8.inc.php,0,0,0
86,lang/japanese-euc.inc.php,0,0,0
87,lang/japanese-sjis.inc.php,0,0,0
88,lang/japanese-utf-8.inc.php,0,0,0
89,lang/korean-euc-kr.inc.php,0,0,0
90,lang/korean-utf-8.inc.php,0,0,0
91,lang/latvian-utf-8.inc.php,0,0,0
92,lang/latvian-windows-1257.inc.php,0,0,0
93,lang/lithuanian-utf-8.inc.php,0,0,0
94,lang/lithuanian-windows-1257.inc.php,0,0,0
95,lang/malay-iso-8859-1.inc.php,0,0,0
96,lang/malay-utf-8.inc.php,0,0,0
97,lang/mongolian-utf-8.inc.php,0,0,0
98,lang/norwegian-iso-8859-1.inc.php,0,0,0
99,lang/norwegian-utf-8.inc.php,0,0,0
100,lang/persian-utf-8.inc.php,0,0,0
101,lang/persian-windows-1256.inc.php,0,0,0
102,lang/polish-iso-8859-2.inc.php,0,0,0
103,lang/polish-utf-8.inc.php,0,0,0
104,lang/polish-windows-1250.inc.php,0,0,0
105,lang/portuguese-iso-8859-15.inc.php,0,0,0
106,lang/portuguese-iso-8859-1.inc.php,0,0,0
107,lang/portuguese-utf-8.inc.php,0,0,0
108,lang/romanian-iso-8859-1.inc.php,0,0,0
109,lang/romanian-utf-8.inc.php,0,0,0
110,lang/russian-cp-866.inc.php,0,0,0
111,lang/russian-koi8-r.inc.php,0,0,0
112,lang/russian-utf-8.inc.php,0,0,0
113,lang/russian-windows-1251.inc.php,0,0,0
114,lang/serbian_cyrillic-utf-8.inc.php,0,0,0
115,lang/serbian_cyrillic-windows-1251.inc.php,0,0,0
116,lang/serbian_latin-utf-8.inc.php,0,0,0
117,lang/serbian_latin-windows-1250.inc.php,0,0,0
118,lang/slovak-iso-8859-2.inc.php,0,0,0
119,lang/slovak-utf-8.inc.php,0,0,0
120,lang/slovak-windows-1250.inc.php,0,0,0
121,lang/slovenian-iso-8859-2.inc.php,0,0,0
122,lang/slovenian-utf-8.inc.php,0,0,0
123,lang/slovenian-windows-1250.inc.php,0,0,0
124,lang/spanish-iso-8859-15.inc.php,0,0,0
125,lang/spanish-iso-8859-1.inc.php,0,0,0
126,lang/spanish-utf-8.inc.php,0,0,0
127,lang/swedish-iso-8859-1.inc.php,0,0,0
128,lang/swedish-utf-8.inc.php,0,0,0
129,lang/tatarish-iso-8859-9.inc.php,0,0,0
130,lang/tatarish-utf-8.inc.php,0,0,0
131,lang/thai-tis-620.inc.php,0,0,0
132,lang/thai-utf-8.inc.php,0,0,0
133,lang/turkish-iso-8859-9.inc.php,0,0,0
134,lang/turkish-utf-8.inc.php,0,0,0
135,lang/ukrainian-utf-8.inc.php,0,0,0
136,lang/ukrainian-windows-1251.inc.php,0,0,0
137,left.php,1,0,0
138,libraries/auth/config.auth.lib.php,0,0,0
139,libraries/auth/cookie.auth.lib.php,1,0,0
140,libraries/auth/http.auth.lib.php,0,0,0
141,libraries/blowfish.php,0,0,0
142,libraries/bookmark.lib.php,1,0,0
143,libraries/charset_conversion.lib.php,0,0,0
144,libraries/check_user_privileges.lib.php,0,0,0
145,libraries/common.lib.php,1,0,0
146,libraries/Config.class.php,0,0,0
147,libraries/config.default.php,0,0,0
148,libraries/database_interface.lib.php,1,0,1
149,libraries/db_config.lib.php,0,0,0
150,libraries/db_details_common.inc.php,0,0,0
151,libraries/db_details_db_info.inc.php,0,0,0
152,libraries/db_details_links.inc.php,0,0,0
153,libraries/dbg/profiling.php,0,0,0
154,libraries/dbg/setup.php,0,0,0
155,libraries/dbi/mysql.dbi.lib.php,0,0,0
156,libraries/dbi/mysqli.dbi.lib.php,0,0,0
157,libraries/db_table_exists.lib.php,1,0,0
158,libraries/display_create_database.lib.php,0,0,0
159,libraries/display_create_table.lib.php,0,0,0
160,libraries/display_export.lib.php,1,0,0
161,libraries/display_import.lib.php,0,0,0
162,libraries/display_select_lang.lib.php,0,0,0
163,libraries/display_tbl.lib.php,0,0,0
164,libraries/display_tbl_links.lib.php,0,0,0
165,libraries/engines/bdb.lib.php,0,0,0
166,libraries/engines/berkeleydb.lib.php,0,0,0
167,libraries/engines/binlog.lib.php,0,0,0
168,libraries/engines/innobase.lib.php,0,0,0
169,libraries/engines/innodb.lib.php,0,0,0
170,libraries/engines/memory.lib.php,0,0,0
