,nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq,IsIdealVulnerable,IsRealVulnerable
browse_foreigners.php,123.0,130.0,1.0,20.0,20.0,3.0,2209.1445246704325,0.0,0.0,0.0,15.0,7.0,17.0,no,no
calendar.php,13.0,15.0,0.0,2.0,2.0,1.0,119.89476363991854,0.0,0.0,0.0,0.0,0.0,0.0,no,no
changelog.php,3.0,3.0,0.0,1.0,1.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,no,no
chk_rel.php,7.0,7.0,0.0,1.0,1.0,0.0,7.690286020676768,0.0,0.0,0.0,1.0,1.0,1.0,no,no
config.footer.inc.php,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
config.header.inc.php,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no,no
config.inc.php,460.0,460.0,0.0,3.0,3.0,1.0,758.0424791809958,0.0,0.0,0.0,0.0,0.0,0.0,no,no
css/phpmyadmin.css.php,26.0,27.0,0.0,7.0,7.0,3.0,164.32637395526055,0.0,0.0,0.0,2.0,2.0,2.0,no,no
db_create.php,18.0,18.0,0.0,3.0,3.0,2.0,173.27463452911059,0.0,0.0,0.0,5.0,4.0,5.0,no,no
db_datadict.php,139.0,156.0,0.0,36.0,36.0,4.0,1727.0185177862686,0.0,0.0,0.0,17.0,7.0,26.0,no,no
db_details_common.php,22.0,22.0,0.0,5.0,5.0,2.0,262.238067109986,0.0,0.0,0.0,8.0,6.0,10.0,no,no
db_details_db_info.php,65.0,65.0,1.0,23.0,23.0,7.0,935.8201608094856,0.0,0.0,1.0,12.0,4.0,24.0,no,no
db_details_export.php,33.0,34.0,0.0,5.0,5.0,3.0,269.231082232919,0.0,0.0,0.0,1.0,1.0,1.0,no,no
