,nonecholoc,loc,nmethods,ccomdeep,ccom,nest,hvol,nIncomingCalls,nIncomingCallsUniq,nOutgoingInternCalls,nOutgoingExternFlsCalled,nOutgoingExternFlsCalledUniq,nOutgoingExternCallsUniq,IsIdealVulnerable,IsRealVulnerable
browse_foreigners.php,140.0,153.0,0.0,18.0,18.0,3.0,1942.0954211665291,0.0,0.0,0.0,14.0,8.0,19.0,no,no
bs_change_mime_type.php,30.0,31.0,0.0,9.0,9.0,7.0,496.5040737282402,0.0,0.0,0.0,11.0,8.0,20.0,no,no
bs_disp_as_mime_type.php,33.0,33.0,0.0,6.0,6.0,2.0,264.4770393462121,0.0,0.0,0.0,4.0,4.0,2.0,no,no
bs_play_media.php,22.0,24.0,0.0,6.0,6.0,3.0,167.8330218124871,0.0,0.0,0.0,4.0,4.0,2.0,no,no
calendar.php,11.0,12.0,0.0,1.0,1.0,0.0,59.63775959491201,0.0,0.0,0.0,0.0,0.0,0.0,no,no
changelog.php,37.0,41.0,0.0,1.0,1.0,0.0,37.352817814715735,0.0,0.0,0.0,0.0,0.0,0.0,yes,yes
chk_rel.php,6.0,6.0,0.0,1.0,1.0,0.0,6.591673732008658,0.0,0.0,0.0,1.0,1.0,1.0,no,no
config.sample.inc.php,15.0,15.0,0.0,1.0,1.0,0.0,15.942385152878742,0.0,0.0,0.0,0.0,0.0,0.0,no,no
db_create.php,25.0,25.0,0.0,4.0,4.0,2.0,186.60345256981142,0.0,0.0,0.0,11.0,6.0,9.0,no,no
db_datadict.php,140.0,151.0,0.0,36.0,36.0,4.0,1732.4493683477356,0.0,0.0,0.0,21.0,8.0,28.0,no,no
db_export.php,34.0,34.0,0.0,4.0,4.0,2.0,250.37159724774747,0.0,0.0,0.0,5.0,4.0,3.0,no,no
db_import.php,7.0,8.0,0.0,1.0,1.0,0.0,9.704060527839234,0.0,0.0,0.0,0.0,0.0,0.0,no,no
db_operations.php,281.0,305.0,0.0,71.0,71.0,7.0,3846.6231042932386,0.0,0.0,0.0,50.0,20.0,75.0,yes,yes
db_printview.php,63.0,82.0,0.0,14.0,14.0,4.0,774.5805550747729,0.0,0.0,0.0,7.0,4.0,13.0,no,no
db_qbe.php,438.0,486.0,1.0,106.0,106.0,8.0,7936.692932383562,0.0,0.0,1.0,25.0,11.0,31.0,no,no
db_search.php,148.0,151.0,1.0,21.0,21.0,4.0,1792.9352551063553,0.0,0.0,1.0,12.0,3.0,22.0,yes,yes
db_sql.php,14.0,14.0,0.0,2.0,2.0,1.0,54.1610040220442,0.0,0.0,0.0,1.0,1.0,1.0,yes,yes
db_structure.php,327.0,346.0,1.0,52.0,52.0,4.0,4774.295143596586,0.0,0.0,1.0,17.0,10.0,30.0,yes,yes
error.php,19.0,21.0,0.0,5.0,5.0,1.0,170.53193371587372,0.0,0.0,0.0,1.0,1.0,2.0,yes,yes
export.php,339.0,341.0,1.0,114.0,114.0,7.0,4265.6234626929845,13.0,13.0,0.0,102.0,26.0,60.0,no,no
import.php,245.0,245.0,0.0,67.0,67.0,6.0,2700.8593170534377,0.0,0.0,0.0,25.0,12.0,50.0,no,no
index.php,63.0,71.0,0.0,14.0,14.0,2.0,666.4821391524546,0.0,0.0,0.0,6.0,5.0,22.0,no,no
lang/afrikaans-utf-8.inc.php,1407.0,1407.0,0.0,1.0,1.0,0.0,10191.396725753078,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/albanian-utf-8.inc.php,1407.0,1407.0,0.0,1.0,1.0,0.0,10191.396725753078,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/arabic-utf-8.inc.php,1407.0,1407.0,0.0,1.0,1.0,0.0,10191.396725753078,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/azerbaijani-utf-8.inc.php,1407.0,1407.0,0.0,1.0,1.0,0.0,10191.396725753078,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/bangla-utf-8.inc.php,1410.0,1410.0,0.0,1.0,1.0,0.0,10216.14543626524,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/basque-utf-8.inc.php,1407.0,1407.0,0.0,1.0,1.0,0.0,10191.396725753078,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/belarusian_cyrillic-utf-8.inc.php,1407.0,1407.0,0.0,1.0,1.0,0.0,10191.396725753078,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/belarusian_latin-utf-8.inc.php,1413.0,1413.0,0.0,1.0,1.0,0.0,10191.396725753078,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/bosnian-utf-8.inc.php,1407.0,1407.0,0.0,1.0,1.0,0.0,10191.396725753078,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/brazilian_portuguese-utf-8.inc.php,1408.0,1408.0,0.0,1.0,1.0,0.0,10199.645585359945,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/bulgarian-utf-8.inc.php,1407.0,1407.0,0.0,1.0,1.0,0.0,10191.396725753078,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/catalan-utf-8.inc.php,1408.0,1408.0,0.0,1.0,1.0,0.0,10199.645585359945,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/chinese_simplified-utf-8.inc.php,1408.0,1408.0,0.0,1.0,1.0,0.0,10199.645585359945,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/chinese_traditional-utf-8.inc.php,1408.0,1408.0,0.0,1.0,1.0,0.0,10199.645585359945,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/croatian-utf-8.inc.php,1408.0,1408.0,0.0,1.0,1.0,0.0,10199.645585359945,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/czech-utf-8.inc.php,1407.0,1407.0,0.0,1.0,1.0,0.0,10191.396725753078,0.0,0.0,0.0,0.0,0.0,0.0,no,no
lang/danish-utf-8.inc.php,1410.0,1410.0,0.0,1.0,1.0,0.0,10216.14543626524,0.0,0.0,0.0,0.0,0.0,0.0,no,no
